time,x,y,z
0.0020,0.4339,-0.2199,0.8306
0.0100,0.4222,-0.2013,0.8443
0.0230,0.4055,-0.2130,0.8473
0.0380,0.4241,-0.2248,0.8981
0.0400,0.4212,-0.1915,0.8727
0.0610,0.4231,-0.2160,0.8336
0.0620,0.4231,-0.2169,0.8512
0.0710,0.4251,-0.1994,0.8590
0.0820,0.4261,-0.1994,0.8512
0.0860,0.4280,-0.2023,0.8394
0.0980,0.4358,-0.1974,0.8209
0.1060,0.4378,-0.1876,0.8228
0.1170,0.4310,-0.1818,0.8355
0.1330,0.4251,-0.1583,0.9010
0.1370,0.4134,-0.1007,0.9127
0.1630,0.3586,-0.1925,0.8072
0.1640,0.4036,-0.2580,0.8394
0.1750,0.4720,-0.1691,0.7564
0.1860,0.5297,-0.1397,0.6450
0.1880,0.4769,-0.2150,0.8326
0.2000,0.3479,-0.3137,0.7749
0.2150,0.3987,-0.2726,0.8365
0.2170,0.4603,-0.1984,0.7857
0.2310,0.4515,-0.2189,0.8316
0.2370,0.4466,-0.1994,0.8179
0.2590,0.4437,-0.2052,0.8248
0.2600,0.4388,-0.2111,0.8258
0.2690,0.4466,-0.2150,0.8228
0.2810,0.4476,-0.2150,0.8218
0.2880,0.4505,-0.2101,0.8209
0.2980,0.4525,-0.1974,0.8267
0.3150,0.4485,-0.1964,0.8258
0.3180,0.4407,-0.1994,0.8277
0.3310,0.4378,-0.2072,0.8248
0.3380,0.4368,-0.2130,0.8218
0.3630,0.4398,-0.2111,0.8179
0.3640,0.4437,-0.2101,0.8228
0.3750,0.4476,-0.2072,0.8199
0.3880,0.4505,-0.2072,0.8179
0.3900,0.4505,-0.2081,0.8179
0.4020,0.4476,-0.2111,0.8189
0.4160,0.4437,-0.2111,0.8199
0.4190,0.4437,-0.2101,0.8218
0.4330,0.4476,-0.2101,0.8228
0.4390,0.4495,-0.2072,0.8228
0.4630,0.4515,-0.2081,0.8228
0.4650,0.4476,-0.2091,0.8228
0.4760,0.4437,-0.2072,0.8209
0.4880,0.4427,-0.2062,0.8228
0.4900,0.4437,-0.2072,0.8228
0.5010,0.4466,-0.2121,0.8228
0.5170,0.4485,-0.2121,0.8218
0.5200,0.4495,-0.2101,0.8238
0.5340,0.4437,-0.2111,0.8218
0.5650,0.4466,-0.2091,0.8238
0.5670,0.4456,-0.2081,0.8150
0.5680,0.4456,-0.2062,0.8160
0.5810,0.4456,-0.2081,0.8179
0.5820,0.4466,-0.2042,0.8199
0.5950,0.4466,-0.2052,0.8189
0.6080,0.4466,-0.2052,0.8199
0.6200,0.4495,-0.2072,0.8228
0.6220,0.4378,-0.2052,0.8248
0.6350,0.4495,-0.2072,0.8179
0.6690,0.4466,-0.2052,0.8218
0.6700,0.4505,-0.2091,0.8287
0.6720,0.4525,-0.2081,0.8267
0.6740,0.4466,-0.2091,0.8248
0.6860,0.4466,-0.2101,0.8238
0.7000,0.4427,-0.2091,0.8287
0.7020,0.4417,-0.2081,0.8326
0.7210,0.4515,-0.2042,0.8258
0.7230,0.4544,-0.2013,0.8199
0.7370,0.4593,-0.2062,0.8189
0.7520,0.4554,-0.2111,0.8218
0.7530,0.4515,-0.2140,0.8228
0.7760,0.4476,-0.2140,0.8218
0.7770,0.4476,-0.2023,0.8189
0.7850,0.4456,-0.2033,0.8258
0.7990,0.4476,-0.2023,0.8258
0.8030,0.4505,-0.2081,0.8238
0.8180,0.4485,-0.2140,0.8209
0.8340,0.4525,-0.2150,0.8228
0.8350,0.4515,-0.2160,0.8228
0.8510,0.4505,-0.2121,0.8209
0.8540,0.4495,-0.2121,0.8199
0.8930,0.4466,-0.2169,0.8189
0.8960,0.4485,-0.2140,0.8218
0.8970,0.4534,-0.2013,0.8277
0.8990,0.4544,-0.1945,0.8316
0.9150,0.4544,-0.2003,0.8287
0.9170,0.4534,-0.2072,0.8258
0.9330,0.4505,-0.2140,0.8248
0.9360,0.4495,-0.2199,0.8179
0.9520,0.4466,-0.2169,0.8150
0.9550,0.4476,-0.2189,0.8160
0.9770,0.4456,-0.2248,0.8131
0.9780,0.4476,-0.2218,0.8131
0.9870,0.4544,-0.2209,0.8140
0.9980,0.4613,-0.2316,0.8101
1.0930,0.4554,-0.2277,0.8072
1.0940,0.4525,-0.2189,0.8140
1.0950,0.4525,-0.2121,0.8199
1.0950,0.4485,-0.2121,0.8277
1.0960,0.4476,-0.2150,0.8306
1.0970,0.4505,-0.2140,0.8228
1.0980,0.4534,-0.2160,0.8228
1.0980,0.4534,-0.2179,0.8170
1.0990,0.4505,-0.2199,0.8199
1.1000,0.4476,-0.2169,0.8277
1.1090,0.4485,-0.2121,0.8306
1.1180,0.4525,-0.2160,0.8248
1.1470,0.4485,-0.2199,0.8218
1.1490,0.4505,-0.2218,0.8218
1.1500,0.4544,-0.2218,0.8150
1.1630,0.4554,-0.2218,0.8091
1.1910,0.4525,-0.2228,0.8101
1.1920,0.4505,-0.2189,0.8101
1.1930,0.4437,-0.2209,0.8189
1.2040,0.4446,-0.2179,0.8160
1.2150,0.4485,-0.2160,0.8170
1.2180,0.4495,-0.2150,0.8150
1.2310,0.4534,-0.2140,0.8131
1.2380,0.4476,-0.2121,0.8131
1.2480,0.4505,-0.2130,0.8160
1.2730,0.4525,-0.2130,0.8170
1.2740,0.4573,-0.2160,0.8121
1.2840,0.4573,-0.2179,0.8170
1.2880,0.4564,-0.2169,0.8228
1.2990,0.4544,-0.2199,0.8179
1.3160,0.4515,-0.2228,0.8189
1.3190,0.4476,-0.2218,0.8170
1.3330,0.4554,-0.2160,0.8160
1.3390,0.4603,-0.2169,0.8160
1.3500,0.4573,-0.2169,0.8179
1.3810,0.4554,-0.2189,0.8179
1.3830,0.4534,-0.2267,0.8189
1.3840,0.4525,-0.2257,0.8218
1.3940,0.4564,-0.2199,0.8209
1.4050,0.4564,-0.2130,0.8189
1.4170,0.4525,-0.2072,0.8199
1.4200,0.4583,-0.2062,0.8199
1.4330,0.4593,-0.2091,0.8199
1.4400,0.4573,-0.2160,0.8189
1.4510,0.4564,-0.2169,0.8209
1.4800,0.4495,-0.2179,0.8209
1.4810,0.4476,-0.2179,0.8218
1.4820,0.4466,-0.2160,0.8160
1.4930,0.4505,-0.2179,0.8199
1.5040,0.4573,-0.2160,0.8150
1.5170,0.4544,-0.2150,0.8170
1.5210,0.4525,-0.2209,0.8121
1.5330,0.4515,-0.2179,0.8179
