time,x,y,z
0.031,-0.04,0.03,0.02
0.032,0.00,0.02,-0.00
0.034,0.03,0.02,-0.02
0.035,0.04,0.01,-0.03
0.036,0.04,-0.01,-0.02
0.037,0.02,-0.01,-0.00
0.038,-0.01,-0.02,0.01
0.039,-0.02,-0.01,0.02
0.040,-0.02,-0.02,0.03
0.052,-0.01,-0.02,0.03
0.052,0.01,-0.02,0.03
0.053,0.03,-0.01,0.02
0.055,0.03,-0.02,0.02
0.058,0.03,-0.02,0.01
0.063,0.03,-0.03,0.02
0.069,0.00,-0.02,0.01
0.080,-0.02,-0.02,0.01
0.081,-0.04,-0.01,0.01
0.083,-0.03,-0.01,0.00
0.088,-0.02,-0.01,0.01
0.094,-0.01,-0.01,0.00
0.098,-0.00,-0.01,-0.00
0.103,0.02,-0.02,-0.01
0.113,0.03,-0.01,-0.01
0.115,0.03,-0.02,-0.01
0.119,0.02,-0.01,-0.01
0.127,0.02,-0.02,-0.00
0.129,0.01,-0.01,-0.00
0.133,-0.00,-0.01,0.01
0.139,0.01,-0.01,0.00
0.144,0.00,-0.01,0.01
0.149,0.02,-0.01,0.00
0.154,0.03,-0.01,-0.01
0.166,0.04,-0.01,-0.01
0.166,0.03,0.00,-0.01
0.168,0.03,0.02,-0.02
0.175,0.01,0.04,-0.02
0.178,0.00,0.04,-0.03
0.183,-0.00,0.04,-0.04
0.188,0.00,0.05,-0.04
0.194,-0.00,0.04,-0.05
0.198,0.00,0.04,-0.05
0.203,0.00,0.04,-0.06
0.216,0.00,0.03,-0.05
0.216,0.01,0.02,-0.04
0.220,0.00,0.02,-0.04
0.226,0.01,0.00,-0.03
0.228,0.01,0.00,-0.03
0.234,0.01,-0.00,-0.02
0.238,0.01,-0.00,-0.02
0.244,0.00,-0.01,-0.02
0.249,-0.00,-0.01,-0.02
0.253,-0.00,-0.02,-0.02
0.258,0.00,-0.01,-0.02
0.263,0.00,-0.00,-0.02
0.268,-0.01,-0.00,-0.02
0.274,-0.01,-0.00,-0.01
0.278,-0.02,-0.00,-0.01
0.283,-0.02,-0.01,-0.00
0.288,-0.02,-0.00,-0.01
0.293,-0.02,-0.01,-0.01
0.298,-0.02,-0.00,-0.01
0.303,-0.02,0.01,0.01
0.308,-0.02,0.02,-0.00
0.314,-0.02,0.02,-0.00
0.319,-0.03,0.02,-0.00
0.331,-0.04,0.01,-0.00
0.332,-0.04,0.01,0.00
0.333,-0.04,0.00,-0.01
0.341,-0.04,-0.01,-0.01
0.343,-0.03,-0.02,0.00
0.348,-0.03,-0.04,0.00
0.353,-0.02,-0.03,-0.00
0.364,-0.03,-0.03,0.02
0.365,-0.02,-0.04,0.02
0.369,-0.02,-0.04,0.02
0.382,-0.01,-0.04,0.03
0.384,-0.01,-0.03,0.03
0.385,-0.01,-0.04,0.02
0.388,-0.01,-0.04,0.03
