time,x,y,z
0.004,0.05,-0.02,-0.01
0.007,0.02,-0.02,-0.01
0.014,-0.00,-0.01,-0.01
0.015,-0.03,-0.01,-0.00
0.030,-0.02,-0.01,0.02
0.031,0.01,-0.01,0.03
0.032,0.01,-0.01,0.02
0.033,0.01,-0.01,0.01
0.046,0.00,-0.00,-0.00
0.047,0.00,0.01,-0.01
0.048,0.01,0.01,-0.01
0.060,0.03,0.00,-0.01
0.060,0.04,0.01,-0.02
0.066,0.03,0.01,-0.04
0.068,0.03,0.02,-0.04
0.072,0.01,0.01,-0.03
0.081,0.01,0.01,-0.03
0.084,0.02,0.01,-0.01
0.089,0.01,-0.00,-0.02
0.094,0.01,0.00,-0.02
0.105,0.01,-0.01,-0.03
0.107,0.01,-0.01,-0.03
0.108,-0.00,-0.01,-0.02
0.116,-0.00,-0.01,-0.01
0.118,-0.01,-0.01,0.02
0.123,-0.03,-0.00,0.03
0.140,-0.03,0.00,0.04
0.142,-0.03,-0.01,0.03
0.144,-0.03,-0.00,0.02
0.145,-0.02,-0.01,0.00
0.154,-0.02,-0.01,-0.01
0.155,-0.02,-0.01,0.00
0.158,-0.02,-0.01,0.00
0.165,-0.03,-0.02,0.01
0.168,-0.04,-0.02,-0.00
0.174,-0.05,-0.02,0.01
0.191,-0.05,-0.02,0.03
0.194,-0.05,-0.01,0.04
0.196,-0.06,-0.03,0.04
0.198,-0.06,-0.02,0.04
0.199,-0.07,-0.02,0.02
0.207,-0.06,-0.01,0.03
0.208,-0.04,-0.02,0.02
0.215,-0.03,-0.01,0.03
0.217,-0.02,-0.02,0.03
0.224,-0.03,-0.02,0.03
0.233,-0.04,-0.02,0.03
0.234,-0.04,-0.02,0.03
0.239,-0.05,-0.02,0.01
0.251,-0.04,-0.02,0.00
0.254,-0.04,-0.03,0.01
0.256,-0.04,-0.03,0.03
0.259,-0.06,-0.03,0.04
0.275,-0.06,-0.04,0.04
0.276,-0.09,-0.03,0.04
0.277,-0.09,-0.03,0.03
0.278,-0.09,-0.04,0.04
0.287,-0.09,-0.04,0.05
0.290,-0.10,-0.04,0.06
0.293,-0.10,-0.03,0.07
0.309,-0.11,-0.03,0.07
0.310,-0.12,-0.04,0.06
0.311,-0.11,-0.03,0.05
0.345,-0.11,-0.04,0.06
0.346,-0.10,-0.04,0.05
0.347,-0.10,-0.04,0.05
0.348,-0.09,-0.04,0.06
0.349,-0.10,-0.04,0.04
0.350,-0.10,-0.04,0.04
0.350,-0.10,-0.03,0.04
0.351,-0.10,-0.03,0.03
0.359,-0.10,-0.03,0.04
0.360,-0.10,-0.03,0.04
0.366,-0.10,-0.03,0.04
0.371,-0.11,-0.04,0.05
0.373,-0.11,-0.04,0.04
0.382,-0.13,-0.03,0.04
0.384,-0.14,-0.04,0.04
0.388,-0.13,-0.03,0.05
0.405,-0.12,-0.03,0.04
0.406,-0.10,-0.04,0.04
0.407,-0.09,-0.04,0.03
0.408,-0.09,-0.04,0.01
0.412,-0.09,-0.03,0.01
0.421,-0.10,-0.03,0.02
0.422,-0.11,-0.02,0.03
0.433,-0.12,-0.01,0.04
0.435,-0.11,-0.01,0.05
0.437,-0.12,0.00,0.03
0.443,-0.10,0.00,0.02
0.455,-0.10,0.01,0.01
0.458,-0.10,0.01,0.00
0.460,-0.09,0.01,-0.01
0.474,-0.09,0.00,-0.01
0.476,-0.10,-0.00,-0.01
0.477,-0.12,0.00,-0.01
0.478,-0.13,0.00,-0.00
0.488,-0.14,-0.01,0.01
0.489,-0.14,-0.01,0.04
0.498,-0.16,-0.01,0.07
0.525,-0.18,-0.00,0.10
0.529,-0.18,-0.00,0.12
0.530,-0.19,-0.01,0.11
0.531,-0.18,-0.00,0.10
0.532,-0.16,-0.01,0.09
0.532,-0.14,-0.01,0.07
0.533,-0.12,-0.02,0.06
0.534,-0.11,-0.01,0.06
0.543,-0.09,-0.01,0.07
0.546,-0.09,-0.00,0.06
0.549,-0.06,-0.01,0.06
0.559,-0.06,0.01,0.03
0.559,-0.06,0.01,-0.01
0.565,-0.04,0.01,-0.03
0.567,-0.04,0.03,-0.04
0.573,-0.02,0.03,-0.04
0.581,-0.01,0.02,-0.03
0.583,-0.02,0.01,0.00
0.588,-0.06,0.02,0.01
0.592,-0.09,0.03,0.01
0.598,-0.12,0.02,0.01
0.603,-0.15,0.02,0.02
0.607,-0.16,0.01,0.04
0.618,-0.16,0.01,0.05
0.618,-0.16,-0.00,0.06
0.622,-0.17,-0.01,0.08
0.641,-0.18,-0.02,0.09
0.641,-0.15,-0.02,0.11
0.642,-0.14,-0.03,0.11
0.642,-0.11,-0.03,0.10
0.652,-0.10,-0.04,0.08
0.654,-0.09,-0.04,0.06
0.658,-0.09,-0.05,0.05
0.664,-0.08,-0.04,0.05
0.670,-0.10,-0.05,0.05
0.673,-0.10,-0.05,0.04
