time,x,y,z
0.006,0.02,-0.01,-0.01
0.006,0.01,-0.01,-0.02
0.007,-0.01,0.01,-0.01
0.008,-0.02,0.01,-0.01
0.014,-0.03,0.01,0.01
0.029,-0.01,0.00,0.00
0.029,0.00,-0.00,0.00
0.030,0.03,-0.00,-0.01
0.040,0.03,-0.00,-0.02
0.041,0.01,0.00,-0.03
0.042,0.01,0.01,-0.02
0.050,0.00,0.02,-0.03
0.053,0.00,0.01,-0.02
0.058,0.02,0.00,-0.02
0.066,0.02,-0.00,-0.01
0.067,0.02,0.00,-0.02
0.072,0.02,0.00,-0.03
0.082,0.02,-0.00,-0.03
0.083,0.01,-0.01,-0.02
0.087,0.01,-0.01,0.00
0.093,-0.01,-0.01,0.01
0.108,-0.01,-0.01,0.01
0.110,-0.01,-0.00,0.01
0.111,-0.00,-0.01,0.01
0.112,-0.01,-0.01,-0.00
0.120,0.01,-0.01,-0.01
0.122,-0.00,-0.00,-0.02
0.127,0.02,0.00,-0.02
0.135,0.00,0.00,-0.01
0.137,0.00,0.01,-0.01
0.142,0.01,-0.00,-0.01
0.150,0.01,0.01,-0.02
0.152,0.00,0.00,-0.03
0.157,0.01,-0.00,-0.03
0.166,0.01,0.00,-0.03
0.168,0.01,-0.00,-0.02
0.173,0.01,-0.00,-0.02
0.177,-0.00,-0.00,-0.02
0.191,-0.01,-0.02,-0.01
0.193,-0.01,-0.02,0.01
0.194,-0.01,-0.02,0.02
0.207,-0.02,-0.03,0.03
0.208,-0.01,-0.03,0.03
0.209,-0.03,-0.02,0.04
0.217,-0.03,-0.02,0.05
0.218,-0.03,-0.01,0.05
0.222,-0.03,-0.01,0.04
0.227,-0.02,0.01,0.02
0.243,0.00,-0.00,0.01
0.246,0.03,0.01,-0.01
0.247,0.04,0.00,-0.01
0.248,0.04,0.01,-0.03
0.257,0.02,0.01,-0.02
0.258,0.01,0.02,-0.02
0.264,-0.00,0.02,0.01
0.269,0.01,0.01,0.02
0.272,0.02,0.02,0.02
0.298,0.02,0.01,0.01
0.299,0.02,0.02,0.00
0.300,0.02,0.03,-0.00
0.301,0.02,0.03,-0.00
0.302,0.04,0.02,-0.02
0.303,0.05,0.03,-0.02
0.314,0.05,0.02,-0.03
0.316,0.05,0.02,-0.02
0.317,0.05,0.02,-0.03
0.324,0.04,0.02,-0.03
0.326,0.04,0.02,-0.01
0.333,0.04,0.01,0.01
0.337,0.02,0.01,0.02
0.342,0.02,0.02,0.02
0.349,0.01,0.02,0.02
0.353,0.01,0.02,0.03
0.357,0.01,0.03,0.04
0.365,0.01,0.02,0.04
0.367,0.03,0.03,0.05
0.372,0.03,0.03,0.04
0.377,0.04,0.05,0.04
0.409,0.05,0.05,0.03
0.412,0.07,0.06,0.02
0.415,0.09,0.05,0.02
0.417,0.10,0.06,0.01
0.417,0.10,0.07,0.00
0.418,0.10,0.07,-0.01
0.420,0.10,0.06,-0.01
